ServiceNo,Threshold,2024-07,2024-07,2024-07,2024-07,2024-08,2024-08,2024-08,2024-08,2024-09,2024-09,2024-09,2024-09
,,Direction_1,Direction_1,Direction_2,Direction_2,Direction_1,Direction_1,Direction_2,Direction_2,Direction_1,Direction_1,Direction_2,Direction_2
,,%_Exceed,StopSeqs,%_Exceed,StopSeqs,%_Exceed,StopSeqs,%_Exceed,StopSeqs,%_Exceed,StopSeqs,%_Exceed,StopSeqs
853M,8,29.73,"[2, 5, 6, 7, 13, 15, 20, 27, 29, 33, 35, 36, 38, 42, 46, 47, 48, 55, 62, 63, 68, 70]",22.97,"[13, 15, 20, 27, 31, 32, 33, 35, 37, 38, 39, 41, 44, 58, 63, 67, 72]",28.38,"[2, 5, 6, 7, 13, 20, 27, 29, 33, 35, 36, 38, 42, 44, 46, 47, 48, 55, 63, 68, 70]",24.32,"[13, 15, 20, 23, 27, 31, 32, 33, 35, 37, 38, 39, 41, 44, 58, 63, 67, 72]",28.38,"[2, 5, 6, 7, 13, 20, 27, 29, 33, 35, 36, 38, 42, 46, 47, 48, 55, 62, 63, 68, 70]",24.32,"[7, 13, 15, 20, 27, 31, 32, 33, 35, 37, 38, 39, 41, 44, 58, 63, 67, 72]"
854,8,7.69,"[5, 6, 31, 48]",5.77,"[9, 20, 24]",5.77,"[5, 6, 48]",5.77,"[9, 20, 24]",7.69,"[5, 6, 31, 48]",7.69,"[2, 9, 20, 24]"
854e,8,95.83,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]",0.0,[],95.83,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]",0.0,[],95.83,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]",0.0,[]
855,8,18.18,"[4, 5, 6, 12, 23, 27, 30, 34, 49, 52]",14.55,"[4, 10, 11, 23, 24, 27, 35, 44]",18.18,"[4, 5, 6, 12, 23, 27, 30, 34, 49, 52]",14.55,"[4, 10, 11, 23, 24, 27, 35, 44]",18.18,"[4, 5, 6, 12, 23, 27, 30, 34, 49, 52]",14.55,"[4, 10, 11, 23, 24, 27, 35, 49]"
856,8,10.26,"[2, 26, 28, 35]",10.26,"[2, 4, 14, 38]",10.26,"[2, 26, 28, 35]",10.26,"[2, 4, 14, 38]",10.26,"[2, 26, 28, 35]",10.26,"[2, 4, 14, 38]"
856A,8,85.71,"[2, 3, 4, 5, 6, 7]",0.0,[],85.71,"[2, 3, 4, 5, 6, 7]",0.0,[],85.71,"[2, 3, 4, 5, 6, 7]",0.0,[]
856B,8,33.33,"[2, 4, 5, 8, 10, 14, 20, 27, 29, 30]",0.0,[],33.33,"[2, 4, 5, 8, 10, 14, 20, 27, 29, 30]",0.0,[],26.67,"[2, 4, 5, 8, 14, 20, 29, 30]",0.0,[]
857,8,10.94,"[5, 6, 20, 27, 41, 43, 46]",0.0,[],10.94,"[5, 6, 20, 27, 41, 43, 46]",0.0,[],9.38,"[5, 6, 20, 41, 43, 46]",0.0,[]
857A,8,66.67,"[2, 3, 4, 5, 6, 7, 8, 12, 13, 15]",0.0,[],66.67,"[2, 3, 4, 5, 6, 7, 8, 12, 13, 15]",0.0,[],66.67,"[2, 3, 4, 5, 6, 7, 8, 12, 13, 15]",0.0,[]
857B,8,80.65,"[2, 3, 4, 5, 6, 8, 12, 13, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]",0.0,[],80.65,"[2, 3, 4, 5, 6, 8, 12, 13, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]",0.0,[],80.65,"[2, 3, 4, 5, 6, 8, 12, 13, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]",0.0,[]
858,8,12.0,"[2, 23, 29, 30, 35, 40, 43, 53, 63]",0.0,[],12.0,"[2, 23, 29, 30, 35, 40, 43, 53, 63]",0.0,[],12.0,"[2, 23, 29, 30, 35, 40, 43, 53, 63]",0.0,[]
858A,8,83.33,"[2, 3, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24]",0.0,[],83.33,"[2, 3, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24]",0.0,[],83.33,"[2, 3, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24]",0.0,[]
858B,8,81.82,"[2, 3, 5, 6, 7, 8, 9, 10, 11]",0.0,[],81.82,"[2, 3, 5, 6, 7, 8, 9, 10, 11]",0.0,[],81.82,"[2, 3, 5, 6, 7, 8, 9, 10, 11]",0.0,[]
859,8,12.0,"[6, 9, 17, 24, 27, 28]",0.0,[],14.0,"[6, 9, 17, 24, 27, 28, 42]",0.0,[],16.0,"[6, 9, 17, 20, 24, 27, 28, 42]",0.0,[]
859A,8,21.43,"[4, 6, 9]",0.0,[],21.43,"[4, 6, 9]",0.0,[],21.43,"[4, 6, 9]",0.0,[]
859B,8,14.29,"[6, 10]",0.0,[],21.43,"[6, 10, 12]",0.0,[],21.43,"[6, 10, 12]",0.0,[]
859T,8,84.62,"[2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]",0.0,[],84.62,"[2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]",0.0,[],84.62,"[2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]",0.0,[]
85A,8,55.0,"[2, 3, 4, 5, 6, 7, 14, 16, 17, 19, 20]",0.0,[],55.0,"[2, 3, 4, 5, 6, 7, 14, 16, 17, 19, 20]",0.0,[],55.0,"[2, 3, 4, 5, 6, 7, 14, 16, 17, 19, 20]",0.0,[]
86,8,12.5,"[2, 5, 10, 26]",6.25,"[8, 20]",12.5,"[2, 5, 10, 26]",12.5,"[3, 8, 20, 25]",12.5,"[2, 5, 10, 26]",9.38,"[8, 20, 25]"
860,8,17.57,"[2, 3, 15, 23, 27, 34, 38, 39, 41, 49, 51, 60, 62]",0.0,[],16.22,"[2, 3, 27, 34, 38, 39, 41, 49, 51, 52, 60, 62]",0.0,[],20.27,"[2, 15, 18, 22, 23, 27, 34, 38, 39, 41, 49, 51, 52, 60, 62]",0.0,[]
860T,8,72.97,"[2, 3, 4, 5, 6, 7, 11, 14, 15, 16, 17, 18, 22, 23, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37]",0.0,[],72.97,"[2, 3, 4, 5, 6, 7, 11, 14, 15, 16, 17, 18, 22, 23, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37]",0.0,[],72.97,"[2, 3, 4, 5, 6, 7, 11, 14, 15, 16, 17, 18, 22, 23, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37]",0.0,[]
861,8,10.71,"[11, 28, 31, 45, 47, 48]",0.0,[],10.71,"[11, 28, 31, 45, 47, 48]",0.0,[],10.71,"[11, 28, 31, 45, 47, 48]",0.0,[]
861A,8,62.07,"[2, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 20, 25, 26, 27, 28, 29]",0.0,[],62.07,"[2, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 20, 25, 26, 27, 28, 29]",0.0,[],62.07,"[2, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 20, 25, 26, 27, 28, 29]",0.0,[]
868E,8,64.29,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 19, 20, 21, 23, 24, 28]",0.0,[],64.29,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 19, 20, 21, 23, 24, 28]",0.0,[],64.29,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 19, 20, 21, 23, 24, 28]",0.0,[]
86A,8,50.0,"[2, 4, 5, 6, 7, 12, 15, 17, 18]",0.0,[],50.0,"[2, 4, 5, 6, 7, 12, 15, 17, 18]",0.0,[],50.0,"[2, 4, 5, 6, 7, 12, 15, 17, 18]",0.0,[]
86B,8,56.25,"[2, 3, 5, 8, 12, 13, 14, 15, 16]",0.0,[],56.25,"[2, 3, 5, 8, 12, 13, 14, 15, 16]",0.0,[],56.25,"[2, 3, 5, 8, 12, 13, 14, 15, 16]",0.0,[]
87,8,15.15,"[2, 9, 11, 27, 31]",24.24,"[2, 4, 7, 9, 18, 23, 24, 26]",15.15,"[2, 9, 11, 27, 31]",24.24,"[2, 4, 7, 9, 18, 23, 24, 26]",15.15,"[2, 9, 11, 27, 31]",24.24,"[2, 4, 7, 9, 18, 23, 24, 26]"
870,8,14.29,"[3, 10]",14.29,"[4, 14]",14.29,"[3, 10]",14.29,"[4, 14]",14.29,"[3, 10]",14.29,"[4, 14]"
871,8,12.77,"[8, 11, 27, 28, 37, 38]",0.0,[],10.64,"[8, 11, 27, 28, 38]",0.0,[],10.64,"[8, 11, 27, 28, 37]",0.0,[]
88,8,11.76,"[2, 15, 38, 43, 44, 49]",11.76,"[2, 8, 9, 16, 21, 43]",11.76,"[2, 15, 38, 43, 44, 49]",9.8,"[2, 8, 9, 16, 43]",13.73,"[2, 15, 38, 42, 43, 44, 49]",9.8,"[2, 8, 9, 16, 43]"
882,8,4.17,[19],0.0,[],8.33,"[4, 19]",0.0,[],8.33,"[4, 19]",0.0,[]
882A,8,85.71,"[2, 3, 4, 5, 6, 7]",0.0,[],85.71,"[2, 3, 4, 5, 6, 7]",0.0,[],85.71,"[2, 3, 4, 5, 6, 7]",0.0,[]
883,8,15.15,"[4, 12, 20, 23, 24]",0.0,[],15.15,"[4, 12, 20, 23, 24]",0.0,[],15.15,"[4, 12, 20, 23, 24]",0.0,[]
883B,8,72.73,"[2, 3, 4, 5, 6, 7, 8, 10]",0.0,[],72.73,"[2, 3, 4, 5, 6, 7, 8, 10]",0.0,[],72.73,"[2, 3, 4, 5, 6, 7, 8, 10]",0.0,[]
883M,8,45.45,"[4, 5, 7, 9, 11, 12, 15, 18, 21, 22, 23, 24, 26, 28, 31]",0.0,[],45.45,"[4, 5, 7, 9, 11, 12, 15, 18, 21, 22, 23, 24, 26, 28, 31]",0.0,[],45.45,"[4, 5, 7, 9, 11, 12, 15, 18, 21, 22, 23, 24, 26, 28, 31]",0.0,[]
88A,8,92.59,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 22, 23, 24, 25, 26, 27]",0.0,[],92.59,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 22, 23, 24, 25, 26, 27]",0.0,[],92.59,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 22, 23, 24, 25, 26, 27]",0.0,[]
88B,8,50.0,"[2, 3, 4, 5, 6, 7]",0.0,[],50.0,"[2, 3, 4, 5, 6, 7]",0.0,[],50.0,"[2, 3, 4, 5, 6, 7]",0.0,[]
89,8,8.42,"[2, 4, 15, 22, 40, 69, 76, 94]",0.0,[],9.47,"[2, 4, 15, 22, 40, 69, 76, 83, 94]",0.0,[],9.47,"[2, 4, 15, 22, 40, 69, 76, 83, 94]",0.0,[]
89A,8,56.76,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 16, 17, 18, 19, 27, 32, 33, 34, 35]",0.0,[],56.76,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 16, 17, 18, 19, 27, 32, 33, 34, 35]",0.0,[],56.76,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 16, 17, 18, 19, 27, 32, 33, 34, 35]",0.0,[]
89e,8,76.92,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22]",76.92,"[5, 6, 7, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]",76.92,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22]",76.92,"[5, 6, 7, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]",76.92,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22]",76.92,"[5, 6, 7, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]"
9,8,15.85,"[3, 6, 7, 13, 14, 17, 18, 33, 66, 67, 71, 78, 81]",0.0,[],15.85,"[3, 6, 7, 13, 14, 17, 18, 33, 66, 67, 71, 78, 81]",0.0,[],15.85,"[3, 6, 7, 13, 14, 17, 18, 33, 66, 67, 71, 78, 81]",0.0,[]
90,8,8.11,"[2, 7, 13]",0.0,[],13.51,"[2, 7, 9, 13, 34]",0.0,[],10.81,"[2, 7, 9, 13]",0.0,[]
900,8,8.7,"[2, 9]",0.0,[],8.7,"[2, 9]",0.0,[],4.35,[2],0.0,[]
901,8,33.33,"[2, 5, 6, 10, 12]",0.0,[],33.33,"[2, 5, 6, 10, 12]",0.0,[],33.33,"[2, 5, 6, 10, 12]",0.0,[]
901M,8,29.17,"[2, 5, 6, 11, 16, 19, 21]",0.0,[],29.17,"[2, 5, 6, 11, 16, 19, 21]",0.0,[],25.0,"[2, 5, 6, 16, 19, 21]",0.0,[]
902,8,33.33,[3],0.0,[],33.33,[3],0.0,[],33.33,[3],0.0,[]
903,8,9.09,"[2, 7]",0.0,[],9.09,"[2, 7]",0.0,[],9.09,"[2, 7]",0.0,[]
903M,8,53.33,"[2, 6, 7, 8, 9, 11, 14, 15]",0.0,[],53.33,"[2, 6, 7, 8, 9, 11, 14, 15]",0.0,[],53.33,"[2, 6, 7, 8, 9, 11, 14, 15]",0.0,[]
904,8,19.05,"[2, 5, 10, 18]",0.0,[],19.05,"[2, 5, 10, 18]",0.0,[],19.05,"[2, 5, 10, 18]",0.0,[]
90A,8,47.83,"[2, 3, 5, 6, 7, 8, 9, 10, 11, 13, 16]",0.0,[],47.83,"[2, 3, 5, 6, 7, 8, 9, 10, 11, 13, 16]",0.0,[],47.83,"[2, 3, 5, 6, 7, 8, 9, 10, 11, 13, 16]",0.0,[]
91,8,26.32,"[3, 5, 7, 16, 17]",0.0,[],26.32,"[3, 5, 7, 16, 17]",0.0,[],26.32,"[3, 5, 7, 16, 17]",0.0,[]
911,8,10.71,"[2, 9, 16]",0.0,[],7.14,"[2, 16]",0.0,[],10.71,"[2, 9, 16]",0.0,[]
911A,8,80.0,"[2, 3, 4, 5]",0.0,[],80.0,"[2, 3, 4, 5]",0.0,[],80.0,"[2, 3, 4, 5]",0.0,[]
911T,8,7.14,[2],0.0,[],7.14,[2],0.0,[],7.14,[2],0.0,[]
912,8,30.23,"[2, 6, 11, 16, 17, 20, 21, 25, 26, 31, 32, 37, 38]",0.0,[],30.23,"[2, 6, 11, 16, 17, 20, 21, 25, 26, 31, 32, 37, 38]",0.0,[],30.23,"[2, 6, 11, 16, 17, 20, 21, 25, 26, 31, 32, 37, 38]",0.0,[]
912A,8,5.26,[2],0.0,[],5.26,[2],0.0,[],5.26,[2],0.0,[]
912B,8,0.0,[],0.0,[],0.0,[],0.0,[],0.0,[],0.0,[]
912M,8,76.47,"[2, 3, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 17]",0.0,[],76.47,"[2, 3, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 17]",0.0,[],76.47,"[2, 3, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 17]",0.0,[]
913,8,12.12,"[2, 15, 19, 26]",0.0,[],15.15,"[2, 6, 15, 19, 26]",0.0,[],12.12,"[2, 15, 19, 26]",0.0,[]
913M,8,18.52,"[2, 7, 11, 17, 19]",0.0,[],18.52,"[2, 7, 11, 17, 19]",0.0,[],22.22,"[2, 7, 11, 14, 17, 19]",0.0,[]
913T,8,12.5,"[2, 9]",0.0,[],12.5,"[2, 9]",0.0,[],12.5,"[2, 9]",0.0,[]
92,8,13.51,"[4, 7, 21, 22, 25]",0.0,[],13.51,"[4, 7, 21, 22, 25]",0.0,[],13.51,"[4, 7, 21, 22, 25]",0.0,[]
920,8,5.88,"[7, 9]",0.0,[],5.88,"[7, 9]",0.0,[],2.94,[7],0.0,[]
922,8,10.71,"[9, 10, 20]",0.0,[],10.71,"[9, 10, 20]",0.0,[],10.71,"[9, 10, 20]",0.0,[]
925,8,10.0,"[4, 6, 8, 21]",5.0,"[35, 38]",10.0,"[4, 6, 8, 21]",5.0,"[35, 38]",10.0,"[4, 6, 8, 21]",5.0,"[35, 38]"
925A,8,44.44,"[2, 3, 4, 5, 6, 7, 8, 18]",0.0,[],44.44,"[2, 3, 4, 5, 6, 7, 8, 18]",0.0,[],44.44,"[2, 3, 4, 5, 6, 7, 8, 18]",0.0,[]
925M,8,12.5,"[4, 6, 8, 35, 38]",0.0,[],12.5,"[4, 6, 8, 35, 38]",0.0,[],12.5,"[4, 6, 8, 35, 38]",0.0,[]
927,8,11.43,"[20, 21, 22, 29]",0.0,[],14.29,"[17, 20, 21, 22, 29]",0.0,[],17.14,"[17, 19, 20, 21, 22, 29]",0.0,[]
92A,8,40.0,"[2, 3, 4, 5]",0.0,[],40.0,"[2, 3, 4, 5]",0.0,[],40.0,"[2, 3, 4, 5]",0.0,[]
93,8,20.0,"[7, 19, 20, 23, 27, 40, 45, 51, 53, 54, 55]",23.64,"[4, 12, 14, 16, 19, 24, 25, 29, 32, 36, 45, 46, 52]",20.0,"[7, 19, 20, 23, 27, 40, 45, 51, 53, 54, 55]",23.64,"[4, 12, 14, 16, 19, 24, 25, 29, 32, 36, 45, 46, 52]",20.0,"[7, 19, 20, 23, 27, 40, 45, 51, 53, 54, 55]",23.64,"[4, 12, 14, 16, 19, 24, 25, 29, 32, 36, 45, 46, 52]"
94,8,18.52,"[4, 19, 25, 26, 27]",0.0,[],18.52,"[4, 19, 25, 26, 27]",0.0,[],18.52,"[4, 19, 25, 26, 27]",0.0,[]
941,8,5.26,[11],0.0,[],5.26,[11],0.0,[],5.26,[11],0.0,[]
945,8,26.32,"[2, 5, 7, 14, 15]",0.0,[],15.79,"[2, 7, 14]",0.0,[],15.79,"[2, 7, 14]",0.0,[]
947,8,14.29,"[3, 12]",0.0,[],14.29,"[3, 12]",0.0,[],14.29,"[3, 12]",0.0,[]
94A,8,50.0,"[2, 3, 4, 5, 6, 7, 8]",0.0,[],50.0,"[2, 3, 4, 5, 6, 7, 8]",0.0,[],50.0,"[2, 3, 4, 5, 6, 7, 8]",0.0,[]
95,8,36.67,"[8, 10, 12, 13, 14, 16, 18, 20, 22, 23, 29]",0.0,[],26.67,"[8, 10, 12, 13, 16, 18, 20, 23]",0.0,[],26.67,"[8, 10, 12, 13, 16, 20, 22, 23]",0.0,[]
950,8,20.0,"[4, 9, 12, 17, 23]",0.0,[],20.0,"[4, 9, 12, 17, 23]",0.0,[],20.0,"[4, 9, 12, 17, 23]",0.0,[]
951E,8,52.17,"[2, 3, 4, 6, 8, 14, 15, 16, 18, 19, 20, 21]",60.87,"[2, 3, 4, 6, 7, 8, 9, 10, 11, 17, 19, 21, 22, 23]",52.17,"[2, 3, 4, 6, 8, 14, 15, 16, 18, 19, 20, 21]",60.87,"[2, 3, 4, 6, 7, 8, 9, 10, 11, 17, 19, 21, 22, 23]",52.17,"[2, 3, 4, 6, 8, 14, 15, 16, 18, 19, 20, 21]",60.87,"[2, 3, 4, 6, 7, 8, 9, 10, 11, 17, 19, 21, 22, 23]"
95B,8,75.0,"[2, 3, 4, 5, 6, 8, 10, 11, 12]",0.0,[],75.0,"[2, 3, 4, 5, 6, 8, 10, 11, 12]",0.0,[],75.0,"[2, 3, 4, 5, 6, 8, 10, 11, 12]",0.0,[]
96,8,13.33,"[3, 5]",0.0,[],6.67,[3],0.0,[],6.67,[3],0.0,[]
960,8,20.83,"[2, 4, 6, 8, 15, 25, 31, 37, 39, 46]",16.67,"[10, 14, 17, 21, 25, 27, 43, 46]",22.92,"[2, 4, 6, 8, 15, 25, 31, 37, 39, 41, 46]",16.67,"[10, 14, 17, 21, 25, 27, 43, 46]",22.92,"[2, 4, 6, 8, 15, 25, 31, 37, 39, 41, 46]",16.67,"[10, 14, 17, 21, 25, 27, 43, 46]"
960e,8,68.0,"[2, 3, 4, 5, 9, 10, 11, 13, 14, 15, 16, 18, 19, 20, 21, 23, 25]",24.0,"[8, 10, 13, 14, 17, 23]",68.0,"[2, 3, 4, 5, 9, 10, 11, 13, 14, 15, 16, 18, 19, 20, 21, 23, 25]",24.0,"[8, 10, 13, 14, 17, 23]",68.0,"[2, 3, 4, 5, 9, 10, 11, 13, 14, 15, 16, 18, 19, 20, 21, 23, 25]",24.0,"[8, 10, 13, 14, 17, 23]"
961,8,20.21,"[4, 6, 8, 15, 24, 26, 29, 30, 42, 44, 45, 49, 70, 71, 73, 77, 80, 82, 84]",14.89,"[3, 22, 26, 32, 44, 45, 49, 52, 57, 58, 61, 67, 89, 92]",20.21,"[4, 6, 8, 15, 24, 26, 29, 30, 42, 44, 45, 49, 70, 71, 73, 77, 80, 82, 84]",14.89,"[3, 22, 26, 32, 44, 45, 49, 52, 57, 58, 61, 67, 89, 92]",20.21,"[4, 6, 8, 15, 24, 26, 29, 30, 42, 44, 45, 49, 70, 71, 73, 77, 80, 82, 84]",17.02,"[3, 22, 26, 32, 44, 45, 49, 50, 52, 57, 58, 61, 67, 74, 89, 92]"
961M,8,20.0,"[4, 6, 8, 15, 24, 26, 29, 30, 42, 44, 45, 49, 70, 71, 73, 81, 84, 86, 88]",14.74,"[3, 23, 27, 33, 45, 46, 50, 53, 58, 59, 62, 68, 90, 93]",21.05,"[4, 6, 8, 15, 24, 26, 29, 30, 42, 44, 45, 49, 68, 70, 71, 73, 81, 84, 86, 88]",14.74,"[3, 23, 27, 33, 45, 46, 50, 53, 58, 59, 62, 68, 90, 93]",22.11,"[4, 6, 8, 15, 24, 26, 29, 30, 42, 44, 45, 49, 68, 70, 71, 73, 74, 81, 84, 86, 88]",15.79,"[3, 23, 27, 33, 45, 46, 50, 53, 58, 59, 62, 68, 75, 90, 93]"
962,8,6.52,"[2, 28, 30]",0.0,[],8.7,"[2, 22, 28, 30]",0.0,[],8.7,"[2, 22, 28, 30]",0.0,[]
962B,8,66.67,"[2, 3, 4, 5, 9, 10, 11, 12]",0.0,[],66.67,"[2, 3, 4, 5, 9, 10, 11, 12]",0.0,[],66.67,"[2, 3, 4, 5, 9, 10, 11, 12]",0.0,[]
962C,8,80.0,"[2, 3, 4, 5]",0.0,[],80.0,"[2, 3, 4, 5]",0.0,[],80.0,"[2, 3, 4, 5]",0.0,[]
963,8,20.41,"[2, 4, 10, 13, 15, 19, 25, 37, 38, 47]",16.33,"[7, 13, 14, 27, 33, 41, 45, 47]",18.37,"[2, 4, 10, 13, 15, 19, 23, 25, 37]",16.33,"[7, 13, 14, 27, 33, 41, 45, 47]",18.37,"[2, 4, 8, 10, 13, 15, 19, 23, 25]",16.33,"[7, 13, 14, 27, 33, 41, 45, 47]"
963e,8,95.45,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]",95.45,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]",95.45,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]",95.45,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]",95.45,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]",95.45,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]"
964,8,11.11,"[2, 6, 24]",0.0,[],11.11,"[2, 6, 24]",0.0,[],11.11,"[2, 6, 24]",0.0,[]
965,8,15.09,"[5, 18, 19, 20, 40, 44, 48, 50]",0.0,[],15.09,"[5, 18, 19, 20, 40, 44, 48, 50]",0.0,[],15.09,"[5, 18, 19, 20, 40, 44, 48, 50]",0.0,[]
965A,8,80.0,"[2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 14, 15]",0.0,[],80.0,"[2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 14, 15]",0.0,[],80.0,"[2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 14, 15]",0.0,[]
965T,8,85.19,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 24, 25, 26, 27]",0.0,[],85.19,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 24, 25, 26, 27]",0.0,[],85.19,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 24, 25, 26, 27]",0.0,[]
966,8,17.65,"[2, 4, 8, 13, 22, 34, 35, 47, 49]",0.0,[],23.53,"[2, 4, 8, 13, 15, 21, 22, 33, 34, 35, 47, 49]",0.0,[],19.61,"[2, 4, 8, 13, 21, 22, 34, 35, 47, 49]",0.0,[]
966A,8,96.3,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",0.0,[],96.3,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",0.0,[],96.3,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",0.0,[]
969,8,17.24,"[2, 14, 19, 20, 24]",13.79,"[2, 8, 16, 26]",17.24,"[2, 14, 19, 20, 24]",13.79,"[2, 8, 16, 26]",17.24,"[2, 14, 19, 20, 24]",13.79,"[2, 8, 16, 26]"
969A,8,80.0,"[2, 3, 4, 5, 6, 7, 8, 11, 12, 13, 14, 15]",0.0,[],80.0,"[2, 3, 4, 5, 6, 7, 8, 11, 12, 13, 14, 15]",0.0,[],80.0,"[2, 3, 4, 5, 6, 7, 8, 11, 12, 13, 14, 15]",0.0,[]
96A,8,30.0,"[3, 4, 5]",0.0,[],30.0,"[3, 4, 5]",0.0,[],30.0,"[3, 4, 5]",0.0,[]
96B,8,25.0,"[5, 7]",0.0,[],25.0,"[5, 7]",0.0,[],25.0,"[5, 7]",0.0,[]
97,8,9.76,"[11, 12, 21, 36]",12.2,"[9, 20, 25, 31, 32]",7.32,"[11, 21, 36]",12.2,"[9, 20, 25, 31, 32]",4.88,"[12, 36]",9.76,"[20, 25, 31, 32]"
